name,price,gtin,url
Ace Ultra Banyo Kireç Çözücü Sprey 700 Ml,"79,95 ₺",8001480711907,https://www.gurmar.com.tr/ace-ultra-banyo-kirec-cozucu-sprey-700-ml
Ace Ultra Köpük Çiçek Kokulu Çamaşır Suyu 700 Ml,"79,95 ₺",8001480023185,https://www.gurmar.com.tr/ace-ultra-kopuk-cicek-kokulu-cama%C5%9F%C4%B1r-suyu-700-ml
Ace Ultra Mutfak Yağ Çözücü Sprey 700 Ml,"79,95 ₺",8001480711303,https://www.gurmar.com.tr/ace-ultra-mutfak-ya%C4%9F-cozucu-sprey-700-ml
Ace Klasik Çamaşır Suyu 4 Lt,"69,90 ₺",8001480703223,https://www.gurmar.com.tr/ace-klasik-cama%C5%9F%C4%B1r-suyu-4-lt
Ace Lavanta Kokulu Çamaşır Suyu 1 Lt,"36,50 ₺",8001480021815,https://www.gurmar.com.tr/ace-lavanta-kokulu-cama%C5%9F%C4%B1r-suyu-1-lt
Ace Klasik Çamaşır Suyu 2 Lt,"59,90 ₺",8001480021792,https://www.gurmar.com.tr/ace-klasik-cama%C5%9F%C4%B1r-suyu-2-lt
Ariel Sıvı Canlı Parlak Renkliler 16 Yıkama,"169,90 ₺",8006540819296,https://www.gurmar.com.tr/ariel-s%C4%B1v%C4%B1-canl%C4%B1-parlak-renkliler-16-y%C4%B1kama
Ariel Renklilere Özel Aqua Pudra Dağ Esintisi 9 kg,"369,90 ₺",Belirtilmemis,https://www.gurmar.com.tr/ariel-renklilere-ozel-aqua-pudra-da%C4%9F-esintisi-9-kg
Ariel Parlak Renkler Renkliler için Toz Deterjan 26 Yıkama 4 Kg,"229,90 ₺",8001090846273,https://www.gurmar.com.tr/ariel-parlak-renkler-renkliler-icin-toz-deterjan-26-y%C4%B1kama-4-kg
Ariel Parlak Renkler Renkliler İçin Toz Çamaşır Deterjanı 7 Kg,"365,90 ₺",8006540465127,https://www.gurmar.com.tr/ariel-parlak-renkler-renkliler-icin-toz-cama%C5%9F%C4%B1r-deterjan%C4%B1-7-kg
"Ariel Oxi Extra Hijyen Renkliler Toz Deterjan 5,5 kg","249,90 ₺",8001090333636,https://www.gurmar.com.tr/ariel-oxi-extra-hijyen-renkliler-toz-deterjan-5-5-kg
"Ariel Oxi Leke Çıkarıcı Etkili Toz Çamaşır Deterjanı 8 Yıkama 1,2 Kg","105,90 ₺",8001841661735,https://www.gurmar.com.tr/ariel-oxi-leke-c%C4%B1kar%C4%B1c%C4%B1-etkili-toz-cama%C5%9F%C4%B1r-deterjan%C4%B1-8-y%C4%B1kama-1-2-kg
"Ariel Parlak Renkler Renkliler İçin Toz Çamaşır Deterjanı 1,5 Kg","108,90 ₺",5413149635135,https://www.gurmar.com.tr/ariel-parlak-renkler-renkliler-icin-toz-cama%C5%9F%C4%B1r-deterjan%C4%B1-1-5-kg
"Ariel Oxi Extra Hijyen 5,5 kg","249,90 ₺",8006540558911,https://www.gurmar.com.tr/ariel-oxi-extra-hijyen-5-5-kg
"Ariel Dağ Esintisi Toz Çamaşır Deterjanı 1,5 Kg","108,90 ₺",5413149634015,https://www.gurmar.com.tr/ariel-da%C4%9F-esintisi-toz-cama%C5%9F%C4%B1r-deterjan%C4%B1-1-5-kg
Alo Platinum Ace Etkili Toz Çamaşır Deterjanı 4 Kg,"195,90 ₺",8006540310168,https://www.gurmar.com.tr/alo-platinum-ace-etkili-toz-cama%C5%9F%C4%B1r-deterjan%C4%B1-4-kg
Air Wick Stick Ups Lavanta Kokulu Oda Kokusu,"84,90 ₺",8690570539172,https://www.gurmar.com.tr/air-wick-stick-ups-lavanta-kokulu-oda-kokusu
"Alo Kar Çiçeği Ferahlığı Beyaz&Renkliler için Toz Çamaşır Deterjanı 1,5 Kg","95,50 ₺",8001841662282,https://www.gurmar.com.tr/alo-kar-cice%C4%9Fi-ferahl%C4%B1%C4%9F%C4%B1-beyaz-renkliler-icin-toz-cama%C5%9F%C4%B1r-deterjan%C4%B1-1-5-kg
Airwick Pembe Çiçek Kokulu Bambu Çubuk 25 Ml,"109,90 ₺",Belirtilmemis,https://www.gurmar.com.tr/airwick-pembe-cicek-kokulu-bambu-cubuk-25-ml
Air Wick Manolya ve Kiraz Çiçekleri Kokulu Oda Kokusu 300 Ml,"99,95 ₺",8690570551754,https://www.gurmar.com.tr/air-wick-manolya-ve-kiraz-cicekleri-kokulu-oda-kokusu-300-ml
Ariel Dağ Esintisi Renklilere Özel Toz Çamaşır Deterjanı 4 Kg,"229,90 ₺",8001090846235,https://www.gurmar.com.tr/ariel-da%C4%9F-esintisi-renklilere-ozel-toz-cama%C5%9F%C4%B1r-deterjan%C4%B1-4-kg
Alo Platinium Fairy Etkisi 7 kg,"295,90 ₺",8006540006863,https://www.gurmar.com.tr/alo-platinium-fairy-etkisi-7-kg
Alo Kar Çiçeği Beyaz&Renkli Toz Çamaşır Deterjanı 4 Kg,"195,90 ₺",8001841662329,https://www.gurmar.com.tr/alo-kar-cice%C4%9Fi-beyaz-renkli-toz-cama%C5%9F%C4%B1r-deterjan%C4%B1-4-kg
Bingo Fresh Pembe Düşler Yüzey Temizleyici 1 Lt,"34,90 ₺",8690536340804,https://www.gurmar.com.tr/bingo-fresh-pembe-du%C5%9Fler-yuzey-temizleyici-1-lt
Bingo Fresh Mutlu Yuvam Yüzey Temizleyici 1 Lt,"34,90 ₺",8690536900251,https://www.gurmar.com.tr/bingo-fresh-mutlu-yuvam-yuzey-temizleyici-1-lt
Bingo Fresh Manolya Bahçesi Yüzey Temizleyici 1 Lt,"34,90 ₺",8690536904655,https://www.gurmar.com.tr/bingo-fresh-manolya-bahcesi-yuzey-temizleyici-1-lt
Bingo Fresh Lovely Yüzey Temizleyici 1 Lt,"34,90 ₺",8690536901142,https://www.gurmar.com.tr/bingo-fresh-lovely-yuzey-temizleyici-1-lt
